ID	Syndermata	Eurotatoria	Bdelloid	Desiccating	DNA.transposons	Rolling.circles	Penelope	LTRs	LINEs	SINEs	Satellite	Simple	Low.complexity	Unclassified	SUM.known.all	SUM.known.I	SUM.known.II	SUM.TOTAL
Br_Italy2	1	1	0	0	0.492006549	0.08166096	0.005589648	0.25750377	2.402477385	0.005687575	0.005948059	2.181124185	1.033154604	3.408856909	3.244925886	2.671258378	0.573667508	9.874009644
Bt_SM28	1	1	0	0	1.922387683	0.075490289	0.054558801	0.710163204	4.31928394	0.002441396	0.005868931	1.957347691	1.074468015	12.20181347	7.084325312	5.086447341	1.997877971	22.32382342
Dc_DCAR505	1	1	1	1	2.649360569	0.189639585	0.723374026	0.735349161	2.307705498	0.085582765	0.049501004	0.799551347	0.168975103	35.27461248	6.691011604	3.852011449	2.839000155	42.98365154
Dc_DCAR706	1	1	1	1	2.575262338	0.248089896	0.73338584	1.13531207	2.535036821	0.058643496	0.045126337	0.793584918	0.166887091	37.6994141	7.28573046	4.462378226	2.823352234	45.99074291
Rc_Rc2018	1	1	1	0	1.660687257	0.194403037	0.288003494	0.514188209	0.676262499	0.00194781	0.027123489	0.894761094	0.182976788	18.24243145	3.335492306	1.480402012	1.855090294	22.68278513
Rd_10x_m	1	1	1	1	3.634658278	0.746908344	0.503078916	0.514664484	0.491963992	0.001087447	0.007870887	2.145093478	0.458212087	33.72537857	5.892361461	1.51079484	4.381566621	42.22891648
Rd_10x_p	1	1	1	1	3.142179593	0.451646573	0.559914071	0.546356828	0.500947203	0.001074393	0.019036721	2.212592068	0.405819373	33.71512747	5.202118661	1.608292495	3.593826165	41.55469429
Rd_RSOR408	1	1	1	1	3.453691501	0.278580558	0.544576076	0.471235204	0.525160746	0.000970584	0.038544314	1.701066404	0.40537375	34.557298	5.274214669	1.541942609	3.732272059	41.97649714
Rd_RSOR410	1	1	1	1	3.431481369	0.300388919	0.534502335	0.371648409	0.638256849	0.001221587	0.007201784	2.223983303	0.401926369	33.28646166	5.277499468	1.54562918	3.731870288	41.19707258
Rd_RSOR504	1	1	1	1	3.693542193	0.246299296	0.59874857	0.479792309	0.496962849	0.000892379	0.031454662	2.182608796	0.412738606	32.9220356	5.516237596	1.576396107	3.939841489	41.06507526
Rg_MAG1	1	1	1	0	2.759325669	0.273282927	0.706884424	0.785173306	0.990194003	0.000976692	0.050761849	1.069703543	0.220212947	25.52098992	5.515837021	2.483228425	3.032608595	32.37750528
Rg_MAG2	1	1	1	0	2.899143536	0.268067759	0.751981959	0.846655763	1.074950082	0.001011464	0.029269863	1.059521247	0.209261236	28.23437814	5.841810563	2.674599268	3.167211296	35.37424105
Rg_MAG3	1	1	1	0	2.836268973	0.301926564	0.825666085	0.892760018	1.07380209	0.00107064	0.01796858	1.027260959	0.207883433	27.80238922	5.931494369	2.793298832	3.138195537	34.98699656
Rg_Rg2018	1	1	1	0	2.638152202	0.271673406	0.785097624	1.106232138	1.093794407	0.001225763	0.015282145	1.127016365	0.237646832	20.54201033	5.89617554	2.986349932	2.909825607	27.81813121
Rg_RM15	1	1	1	0	2.813699592	0.288469732	0.680343379	1.309222119	1.111001555	0.001245539	0.027456273	1.136248911	0.234956403	22.02561468	6.203981916	3.101812592	3.102169324	29.62825818
Rg_RM9	1	1	1	0	2.295551846	0.208821337	0.635898709	1.253871096	1.028231336	0.002390818	0.012466692	1.312962989	0.259785242	18.08143503	5.424765143	2.920391959	2.504373184	25.09141509
Rp_RPSE411	1	1	1	1	3.348266417	0.339304086	0.601692787	0.535192247	0.959865685	0.00111694	0.01081188	1.701656609	0.316913787	31.75452452	5.785438163	2.097867659	3.687570504	39.56934496
Rp_RPSE503	1	1	1	1	3.700729565	0.384527399	0.598935145	0.538312384	1.007667525	0.012708678	0.016216265	1.308239862	0.301157947	31.80046263	6.242880696	2.157623732	4.085256964	39.6689574
Rp_RPSE809	1	1	1	1	3.632690189	0.319964864	0.582437159	0.717421584	1.01140422	0.007030202	0.010101828	1.562852296	0.317918131	31.90904253	6.270948218	2.318293165	3.952655053	40.070863
Rp_RPSE812	1	1	1	1	3.599367352	0.306455502	0.58935973	0.550872791	0.996691355	0.001111291	0.024211627	1.333334136	0.328599966	29.72855911	6.043858021	2.138035168	3.905822854	37.45856286
Rs_AK11	1	1	1	0	2.027309441	0.300741814	0.670472407	0.745793157	0.819670356	0.001348116	0.022159616	1.228246569	0.250467213	15.91103028	4.565335291	2.237284036	2.328051255	21.97723897
Rs_AK15	1	1	1	0	1.86904127	0.213263805	0.669012623	0.603681842	0.766782486	0.001475465	0.01296995	1.237435943	0.259412222	14.17318628	4.12325749	2.040952415	2.082305075	19.80626189
Rs_AK16	1	1	1	0	1.834663349	0.241842008	0.558167309	0.737040107	0.717595716	0.001477927	0.010681923	1.231733225	0.258193724	14.02239144	4.090786415	2.014281058	2.076505357	19.61378673
Rs_AK27	1	1	1	0	2.038526261	0.22503056	0.672504945	0.776207095	0.810956366	0.001282764	0.012472275	1.230644402	0.248784054	16.54733214	4.524507991	2.26095117	2.263556821	22.56374086
Rs_RS1	1	1	1	0	1.822800182	0.161644314	0.522338135	0.875220475	0.773266883	0.001337171	0.048447363	1.296159424	0.266293594	13.32824355	4.156607159	2.172162664	1.984444496	19.09575109
Rw_10x_m	1	1	1	1	2.91240914	0.467528273	0.420631287	0.78230154	0.54977586	0.000829141	0.019905888	1.811484766	0.384978875	31.37105484	5.13347524	1.753537828	3.379937413	38.72089961
Rw_10x_p	1	1	1	1	2.866311757	0.62187241	0.506160391	0.698124227	0.602162443	0.008839124	0.010003328	1.632208827	0.34219447	34.34255559	5.303470352	1.815286185	3.488184167	41.63043256
Rw_RSIL801	1	1	1	1	2.863866685	0.223725431	0.534117974	0.551671758	0.623612246	0.001008313	0.004605374	1.485638069	0.358278431	29.00175347	4.798002406	1.71041029	3.087592116	35.64827775
Rw_RSIL802	1	1	1	1	2.59882887	0.211636113	0.536060679	0.366821383	0.623053135	0.000806172	0.004910388	1.897508969	0.363445468	27.93617269	4.337206352	1.526741369	2.810464983	34.53924387
Rw_RSIL804	1	1	1	1	2.622431019	0.2610355	0.49502274	0.373622393	0.583960676	0.000680804	0.008109074	2.060851996	0.343700756	31.28729314	4.336753133	1.453286613	2.883466519	38.0367081
Rw_RSIL806	1	1	1	1	2.817334564	0.285588432	0.550130245	0.575168126	0.62261451	0.003397757	0.089422044	1.819327377	0.357788197	31.06171713	4.854233633	1.751310638	3.102922995	38.18248838
DMEL	0	0	0	0	1.993886256	0.823600451	0.020130665	12.16400982	5.281578068	0.002828298	1.315549012	2.183158897	0.325642538	0.660481741	20.28603356	17.46854685	2.817486707	24.77086575
PNUB	0	0	0	0	1.139348802	0.098115041	0.15283223	0.416067981	0.344233893	0.001950388	0.029793553	3.387128094	1.066551624	4.633896911	2.152548335	0.915084492	1.237463843	11.26991852
PVAN	0	0	0	1	0.203725175	0.220059143	0.013967909	0.180599975	0.176693702	0.000953803	0.014562957	1.368950903	0.645242371	8.09355612	0.795999707	0.372215389	0.423784318	10.91831206
CELE	0	0	0	0	10.63623272	2.256639961	0.004639712	0.631425591	0.565279035	0.097871694	1.028632985	1.004425316	0.278091543	5.004047358	14.19208871	1.299216032	12.89287268	21.50728592
HEXE	0	0	0	0	1.320198755	0.276636746	0.01464356	0.864602764	0.321993186	0.000473333	0.011971581	6.865528365	0.223219243	19.65607335	2.798548344	1.201712843	1.596835501	29.55534088
RVAR	0	0	0	1	3.26522437	0.097507748	0.000607218	0.230250261	0.711464262	0.000360032	0.000943964	0.214134803	0.028901069	12.94375456	4.305413891	0.942681773	3.362732118	17.49314829
PLAE	1	0	0	0	1.278911205	0.022803038	9.892212776	3.316636895	33.8915455	0.092827494	0.024143715	1.633503434	0.322904995	16.1114716	48.49493691	47.19322267	1.301714243	66.58696065
CGIG	0	0	0	0	9.100074768	5.72662044	0.362300128	2.233202532	2.010901274	0.045699942	0.030144552	0.79233446	0.125987579	18.00247875	19.47879908	4.652103876	14.82669521	38.42974443
LGIG	0	0	0	0	2.321711935	0.131138683	1.035273803	2.13618913	0.842339988	1.238330407	0.01437307	0.675457501	0.104111015	18.41710407	7.704983946	5.252133328	2.452850618	26.9160296
OBIM	0	0	0	0	5.631077739	0.547177161	1.812316667	1.781163793	8.255746563	5.885393688	0.018886713	6.427982212	0.397712198	28.73733692	23.91287561	17.73462071	6.1782549	59.49479365
ACAL	0	0	0	0	4.653117506	0.08902639	0.117794426	1.203749211	5.683260776	0.640678547	0.088190747	4.582551816	0.460141271	26.39182746	12.38762686	7.64548296	4.742143896	43.91033815
BGLA	0	0	0	0	5.079610463	0.056736879	0.061199072	3.425160426	12.76315625	1.833236845	0.016187356	2.669487025	0.414394083	25.24257288	23.21909994	18.08275259	5.136347342	51.56174128
LANA	0	0	0	0	2.358589585	0.091196378	0.096150843	1.874538032	1.326794539	0.012808377	0.044999122	1.692963382	0.220434804	17.14433154	5.760077754	3.310291791	2.449785963	24.8628066
HROB	0	0	0	0	4.74588105	0.178198584	1.184273247	2.126791349	11.37912139	0.003951972	0.037948192	10.5504262	0.642040359	14.8217078	19.61821759	14.69413796	4.924079634	45.67034014
CTEL	0	0	0	0	4.647529977	0.027438826	0.044839043	3.519238809	5.515150646	0.010660303	0.010332354	1.338209335	0.166260102	18.39540323	13.7648576	9.089888801	4.674968803	33.67506263
SHAE	0	0	0	0	0.671519352	0.006926684	2.677234493	5.443815679	15.4629906	0.001152718	0.001371397	0.952774855	0.096878069	24.06695304	24.26363953	23.58519349	0.678446036	49.38161689
ILIN	0	0	0	0	7.970712641	0.005196732	0.002223394	1.31371321	0.021618598	0.001252311	0.004735228	1.775691158	0.562629179	30.18922306	9.314716886	1.338807513	7.975909373	41.84699551
